SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
2244.31,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1222482,20.6749042,77723,2,4,33906,8120.00,328129.20
2043.20,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1223439,20.6741812,77723,2,4,31742,8120.00,328129.20
2043.20,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1226247,20.6743504,77723,2,4,32656,8120.00,328129.20
2043.20,43.71,1,1,1,0,0,3,6,0,60,4,122,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1225966,20.6743335,77723,2,4,32703,7850.00,343123.50
2447.89,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1215978,20.6753276,77723,2,4,35159,8120.00,328129.20
2043.20,43.71,1,1,1,0,0,3,6,0,60,4,122,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1226527,20.6743674,77723,2,4,33474,7850.00,343123.50
2244.31,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1223576,20.6750602,77723,2,4,34100,8120.00,328129.20
2244.31,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1222065,20.6753429,77723,2,4,33739,7850.00,343123.50
2855.05,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221561,20.6744655,77723,2,4,35579,7850.00,343123.50
2244.31,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1222341,20.6752915,77723,2,4,36246,7850.00,343123.50
4081.46,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1223954,20.6752395,77723,2,4,68117,8120.00,328129.20
