Fecha_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,Promedio_costo_total,Error_promedio_costo_total,Promedio_costo_m2,Error_promedio_costo_m2,Error_min_costo_total,Error_max_costo_total,Error_varianza_costo_total,Error_desviacion_std_costo_total,Error_min_costo_m2,Error_max_costo_m2,Error_varianza_costo_m2,Error_desviacion_std_costo_m2
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold9_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.629596948623657,72,8,500,35,1,28,2,3195317.5198611114,923379.48798285821,29205.686250000002,3832.0182435170314,12305.820677227341,4544301.0306772273,1018998317734.1007,1009454.4654089657,315.66378520310536,13985.754380894128,10995350.020268884,3315.923705435468
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold0_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,25.42157793045044,72,8,500,35,1,29,2,3188878.8987500002,1035612.1498106266,29237.732083333332,3807.8368386282245,5411.9012420228682,4660755.3989276141,810898441869.97778,900498.9960405163,10.943011529539945,11136.781879624634,9018428.2894080821,3003.0698109448076
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold1_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,27.775131940841675,72,8,500,35,1,29,2,3131633.4026388889,986151.82839525433,29064.086666666666,4242.42789327641,21808.984296765644,4511450.7460761704,950884681782.77747,975133.1610517496,254.27804896955786,13744.310987654533,9031385.8443249818,3005.2264214739266
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold2_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.73549199104309,72,8,500,35,1,29,2,3192310.7302777781,1013388.9675619639,28933.820416666669,3737.6749740007922,6375.1702455026098,4103495.5812591445,833833950194.54224,913145.0871545782,42.028665938742051,12408.738713539971,8422021.4434502423,2902.0719225150574
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold3_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.544860124588013,72,8,500,35,1,29,2,3156379.3809722224,1047053.4713452394,29175.294444444447,3900.2730289102515,421.93725822772831,4156942.7382793347,782881359761.56311,884805.8316724427,9.0129081108316313,12021.6909183118,8378359.6591648115,2894.539628190433
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold4_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.30300998687744,72,8,500,35,1,29,2,3161577.8118055556,855383.7198501816,29441.04791666667,3637.1968186024624,808.72091866238043,3688191.0901473998,603430058098.98425,776807.606875077,21.293084984397865,11273.989939053976,7851016.7191570066,2801.966580663839
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold5_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.493118047714233,72,8,500,35,1,29,2,3252447.0838888888,928888.91203554918,29175.348055555558,3597.5904388659419,21721.943838197272,4785198.5325472113,910353336110.49243,954124.3818866031,102.87059940739346,14642.354956730025,9451606.0046113469,3074.346435360099
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold6_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.293946027755737,72,8,500,35,1,29,2,3199458.7877777778,721290.22902593832,29606.940833333338,3227.811399909021,5123.0644471858686,4388840.8638780024,503710486303.96234,709725.641571419,110.43280588728521,12597.851909135225,7355427.9304381274,2712.0892187459704
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold7_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.625962018966675,72,8,500,35,1,29,2,3228891.3181944443,1088985.5922685491,29476.436944444446,3755.9037880906399,41560.979428120889,5034357.5794281214,920343533903.46594,959345.3673747875,16.254968060762621,11208.900722576222,9533074.3360234499,3087.5677054962616
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold8_L1_H29,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.717150926589966,72,8,500,35,1,29,2,3097800.2308333335,917097.56866846629,29619.943888888887,3599.0397079188756,4868.5948941800743,4028037.3188313809,691286349298.27783,831436.3170431502,94.18805489782244,10244.188054897822,6868315.5652428633,2620.747138745526
